Date,Open,High,Low,Close,Adj Close,Volume,log RO,log RH,log RL,log RC
1/19/1981,0.587054,0.589286,0.587054,0.587054,0.026513,10393600,0.054701095,0.05849592,0.05872679,0.05872679
1/20/1981,0.571429,0.571429,0.569196,0.569196,0.025707,7520800,-0.026976568,-0.030771394,-0.03089197,-0.03089197
1/21/1981,0.580357,0.584821,0.580357,0.580357,0.026211,3976000,0.01550319,0.023165576,0.019418593,0.019418593
1/22/1981,0.587054,0.591518,0.587054,0.587054,0.026513,8887200,0.011473377,0.011386297,0.011473377,0.011473377
1/23/1981,0.587054,0.589286,0.584821,0.584821,0.026412,2805600,0,-0.00378048,-0.003810991,-0.003810991
1/26/1981,0.578125,0.578125,0.575893,0.575893,0.026009,6160000,-0.015326701,-0.019121526,-0.015383938,-0.015383938
1/27/1981,0.575893,0.575893,0.571429,0.571429,0.025807,5924800,-0.003868229,-0.003868229,-0.007781639,-0.007781639
1/28/1981,0.555804,0.555804,0.553571,0.553571,0.025001,7039200,-0.035506165,-0.035506165,-0.031750223,-0.031750223
1/29/1981,0.535714,0.535714,0.533482,0.533482,0.024094,10976000,-0.036815278,-0.036815278,-0.036964688,-0.036964688
1/30/1981,0.508929,0.508929,0.504464,0.504464,0.022783,11547200,-0.051291919,-0.051291919,-0.055928851,-0.055928851
2/2/1981,0.477679,0.477679,0.475446,0.475446,0.021473,5941600,-0.063369559,-0.063369559,-0.059243169,-0.059243169
2/3/1981,0.493304,0.495536,0.493304,0.493304,0.022279,4788000,0.032186658,0.036701046,0.036872306,0.036872306
2/4/1981,0.511161,0.513393,0.511161,0.511161,0.023086,6966400,0.035558992,0.035401629,0.035558992,0.035558992
2/5/1981,0.511161,0.515625,0.511161,0.511161,0.023086,1982400,0,0.004338123,0,0
2/6/1981,0.513393,0.515625,0.513393,0.513393,0.023186,3466400,0.004357025,0,0.004357025,0.004357025
2/9/1981,0.491071,0.491071,0.486607,0.486607,0.021977,4188800,-0.044452914,-0.048791037,-0.053584818,-0.053584818
2/10/1981,0.486607,0.488839,0.486607,0.486607,0.021977,4586400,-0.009131904,-0.004555528,0,0
2/11/1981,0.473214,0.473214,0.470982,0.470982,0.021271,3460800,-0.027909098,-0.032485474,-0.032636939,-0.032636939
2/12/1981,0.46875,0.46875,0.466518,0.466518,0.021069,3640000,-0.00947814,-0.00947814,-0.009523272,-0.009523272
2/13/1981,0.459821,0.459821,0.455357,0.455357,0.020565,2788800,-0.019232294,-0.019232294,-0.024214878,-0.024214878
2/17/1981,0.466518,0.46875,0.466518,0.466518,0.021069,3068800,0.014459321,0.019232294,0.024214878,0.024214878
2/18/1981,0.486607,0.491071,0.486607,0.486607,0.021977,4810400,0.042160211,0.046519143,0.042160211,0.042160211
2/19/1981,0.459821,0.459821,0.457589,0.457589,0.020666,5577600,-0.056619532,-0.065751437,-0.061485414,-0.061485414
2/20/1981,0.435268,0.435268,0.433036,0.433036,0.019557,6092800,-0.05487535,-0.05487535,-0.055150536,-0.055150536
2/23/1981,0.439732,0.441964,0.439732,0.439732,0.01986,3528000,0.010203517,0.015266497,0.015344585,0.015344585
2/24/1981,0.428571,0.428571,0.424107,0.424107,0.019154,4244800,-0.025709032,-0.030772012,-0.036179669,-0.036179669
2/25/1981,0.450893,0.453125,0.450893,0.450893,0.020364,4872000,0.050773642,0.055711607,0.061244279,0.061244279
2/26/1981,0.457589,0.459821,0.457589,0.457589,0.020666,2710400,0.014741341,0.014669258,0.014741341,0.014741341
2/27/1981,0.473214,0.477679,0.473214,0.473214,0.021372,3690400,0.033576316,0.038101675,0.033576316,0.033576316
3/2/1981,0.475446,0.477679,0.475446,0.475446,0.021473,2940000,0.004705593,0,0.004705593,0.004705593
3/3/1981,0.470982,0.470982,0.46875,0.46875,0.02117,4043200,-0.009433434,-0.014119082,-0.014183734,-0.014183734
3/4/1981,0.466518,0.466518,0.464286,0.464286,0.020969,3427200,-0.009523272,-0.009523272,-0.009568836,-0.009568836
3/5/1981,0.464286,0.464286,0.462054,0.462054,0.020868,1344000,-0.004795863,-0.004795863,-0.004818974,-0.004818974
3/6/1981,0.462054,0.462054,0.457589,0.457589,0.020666,2900800,-0.004818974,-0.004818974,-0.009710366,-0.009710366
3/9/1981,0.424107,0.424107,0.421875,0.421875,0.019053,3830400,-0.085695985,-0.085695985,-0.08126234,-0.08126234
3/10/1981,0.404018,0.404018,0.401786,0.401786,0.018146,7095200,-0.04852635,-0.04852635,-0.048789453,-0.048789453
3/11/1981,0.390625,0.390625,0.386161,0.386161,0.01744,7464800,-0.033711411,-0.033711411,-0.039665228,-0.039665228
3/12/1981,0.401786,0.404018,0.401786,0.401786,0.018146,14812000,0.028171588,0.033711411,0.039665228,0.039665228
3/13/1981,0.399554,0.399554,0.397321,0.397321,0.017944,57825600,-0.005570684,-0.011110506,-0.01117509,-0.01117509
3/16/1981,0.412946,0.417411,0.412946,0.412946,0.01865,9307200,0.032967909,0.043722423,0.038572316,0.038572316
3/17/1981,0.433036,0.4375,0.433036,0.433036,0.019557,10936800,0.047504032,0.047005358,0.047504032,0.047504032
3/18/1981,0.459821,0.464286,0.459821,0.459821,0.020767,9234400,0.060016418,0.059424036,0.060016418,0.060016418
3/19/1981,0.457589,0.457589,0.455357,0.455357,0.020565,9452800,-0.004865882,-0.01452934,-0.009755557,-0.009755557
3/20/1981,0.459821,0.464286,0.459821,0.459821,0.020767,3651200,0.004865882,0.01452934,0.009755557,0.009755557
3/23/1981,0.477679,0.482143,0.477679,0.477679,0.021573,5504800,0.038101675,0.037740009,0.038101675,0.038101675
3/24/1981,0.477679,0.477679,0.475446,0.475446,0.021473,7039200,0,-0.009301792,-0.004685648,-0.004685648
3/25/1981,0.470982,0.470982,0.466518,0.466518,0.021069,1764000,-0.014119082,-0.014119082,-0.018956706,-0.018956706
3/26/1981,0.459821,0.459821,0.457589,0.457589,0.020666,3068800,-0.023982593,-0.023982593,-0.019325203,-0.019325203
3/27/1981,0.444196,0.444196,0.441964,0.441964,0.01996,3063200,-0.034571377,-0.034571377,-0.034742971,-0.034742971
3/30/1981,0.441964,0.446429,0.441964,0.441964,0.01996,2475200,-0.005037476,0.005014467,0,0
3/31/1981,0.441964,0.441964,0.4375,0.4375,0.019759,3998400,0,-0.010051942,-0.010151725,-0.010151725
4/1/1981,0.435268,0.435268,0.433036,0.433036,0.019557,8517600,-0.015266497,-0.015266497,-0.01025584,-0.01025584
4/2/1981,0.470982,0.473214,0.470982,0.470982,0.021271,7851200,0.078857943,0.083585784,0.083999011,0.083999011
4/3/1981,0.473214,0.475446,0.473214,0.473214,0.021372,4121600,0.004727841,0.004705593,0.004727841,0.004727841
4/6/1981,0.466518,0.466518,0.464286,0.464286,0.020969,5700800,-0.014251113,-0.018956706,-0.019046976,-0.019046976
4/7/1981,0.462054,0.462054,0.459821,0.459821,0.020767,2671200,-0.009614837,-0.009614837,-0.009663458,-0.009663458
4/8/1981,0.482143,0.486607,0.482143,0.482143,0.021775,5488000,0.042558983,0.051775048,0.047403467,0.047403467
4/9/1981,0.491071,0.493304,0.491071,0.491071,0.022178,3124800,0.01834797,0.013668801,0.01834797,0.01834797
4/10/1981,0.497768,0.5,0.497768,0.497768,0.022481,8366400,0.013545385,0.013482482,0.013545385,0.013545385
4/13/1981,0.497768,0.5,0.497768,0.497768,0.022481,4015200,0,0,0,0
4/14/1981,0.497768,0.5,0.497768,0.497768,0.022481,1663200,0,0,0,0
4/15/1981,0.475446,0.475446,0.473214,0.473214,0.021372,8512000,-0.045880794,-0.050354788,-0.050586388,-0.050586388
4/16/1981,0.448661,0.448661,0.446429,0.446429,0.020162,5969600,-0.057985719,-0.057985719,-0.058267344,-0.058267344
4/20/1981,0.459821,0.462054,0.459821,0.459821,0.020767,8836800,0.024569692,0.029414176,0.02955691,0.02955691
4/21/1981,0.491071,0.493304,0.491071,0.491071,0.022178,7134400,0.065751437,0.065443849,0.065751437,0.065751437
4/22/1981,0.508929,0.511161,0.508929,0.508929,0.022985,4748800,0.035719797,0.035558992,0.035719797,0.035719797
4/23/1981,0.522321,0.524554,0.522321,0.522321,0.02359,14504000,0.025973824,0.025863769,0.025973824,0.025973824
4/24/1981,0.522321,0.522321,0.517857,0.517857,0.023388,8764000,0,-0.004266036,-0.008583199,-0.008583199
4/27/1981,0.515625,0.515625,0.513393,0.513393,0.023186,9632000,-0.012902584,-0.012902584,-0.008657509,-0.008657509
4/28/1981,0.506696,0.506696,0.504464,0.504464,0.022783,8047200,-0.017468539,-0.017468539,-0.017545154,-0.017545154
4/29/1981,0.5,0.5,0.497768,0.497768,0.022481,3410400,-0.01330312,-0.01330312,-0.013362374,-0.013362374
4/30/1981,0.506696,0.511161,0.506696,0.506696,0.022884,3152800,0.01330312,0.022076511,0.017777113,0.017777113
5/1/1981,0.506696,0.511161,0.506696,0.506696,0.022884,4138400,0,0,0,0
5/4/1981,0.506696,0.506696,0.504464,0.504464,0.022783,3612000,0,-0.008773391,-0.004414739,-0.004414739
5/5/1981,0.504464,0.504464,0.502232,0.502232,0.022682,4384800,-0.004414739,-0.004414739,-0.004434315,-0.004434315
5/6/1981,0.491071,0.491071,0.488839,0.488839,0.022077,4737600,-0.026907759,-0.026907759,-0.027028972,-0.027028972
